,lat_long
IAH,"29.984399795532227, -95.34140014648438"
ICT,"37.649899, -97.433098"
IDA,"43.514599, -112.070999"
ILM,"34.270599365234375, -77.90260314941406"
IMT,"45.8184013367, -88.1145019531"
IND,"39.7173, -86.294403"
INL,"48.566200256347656, -93.4030990600586"
IPT,"41.241798400878906, -76.92109680175781"
ISN,"48.177898407, -103.641998291"
ISP,"40.79520035, -73.10019684"
ITH,"42.49100112915039, -76.4583969116211"
ITO,"19.721399307250977, -155.04800415039062"
JAC,"43.6072998046875, -110.73799896240234"
JAN,"32.3111991882, -90.0758972168"
JAX,"30.49410057067871, -81.68789672851562"
JFK,"40.639801, -73.7789"
JHM,"20.962900161743164, -156.67300415039062"
JLN,"37.151798248291016, -94.49829864501953"
JMS,"46.92969894, -98.67819977"
JNU,"58.35499954223633, -134.5760040283203"
KOA,"19.738783, -156.045603"
KTN,"55.35559845, -131.7140045"
LAN,"42.77870178222656, -84.58740234375"
LAR,"41.31209945678711, -105.67500305175781"
LAS,"36.08010101, -115.1520004"
LAW,"34.5676994324, -98.4166030884"
LAX,"33.942501, -118.407997"
LBB,"33.663601, -101.822998"
LBF,"41.12620163, -100.6839981"
LCH,"30.126100540161133, -93.22329711914062"
LCK,"39.813801, -82.927803"
LEX,"38.0364990234375, -84.60590362548828"
LFT,"30.20529938, -91.98760223"
LGA,"40.777199, -73.872597"
LGB,"33.81769943, -118.1520004"
LIH,"21.97599983215332, -159.33900451660156"
LIT,"34.729400634799994, -92.2242965698"
LNK,"40.85100173950195, -96.75920104980469"
LNY,"20.785600662231445, -156.9510040283203"
LRD,"27.543800354003906, -99.46160125732422"
LSE,"43.879002, -91.256699"
LWB,"37.8582992554, -80.3994979858"
LWS,"46.3745002746582, -117.01499938964844"
LYH,"37.326698303222656, -79.20040130615234"
MAF,"31.9424991607666, -102.2020034790039"
MBS,"43.532901763916016, -84.07959747314453"
MCI,"39.2976, -94.713898"
MCO,"28.429399490356445, -81.30899810791016"
MDT,"40.1935005188, -76.7633972168"
MDW,"41.785999, -87.752403"
MEI,"32.33259963989258, -88.75189971923828"
MEM,"35.04240036010742, -89.97669982910156"
MFE,"26.17580032, -98.23860168"
MFR,"42.37419891357422, -122.87300109863281"
MGM,"32.30059814, -86.39399719"
MHK,"39.14099884033203, -96.6707992553711"
MHT,"42.932598, -71.435699"
MIA,"25.79319953918457, -80.29060363769531"
MKE,"42.947200775146484, -87.89659881591797"
MKG,"43.169498, -86.238197"
MKK,"21.15290069580078, -157.0959930419922"
MLB,"28.102800369262695, -80.64530181884766"
MLI,"41.44850158691406, -90.50749969482422"
MLU,"32.51089859008789, -92.0376968383789"
MOB,"30.691200256348, -88.242797851562"
MOT,"48.2593994140625, -101.27999877929688"
MQT,"46.353599548300004, -87.395401001"
MRY,"36.58700180053711, -121.84300231933594"
MSN,"43.13990020751953, -89.3375015258789"
MSO,"46.91630173, -114.0910034"
MSP,"44.882, -93.221802"
MSY,"29.99340057373047, -90.25800323486328"
MTJ,"38.509799957300004, -107.893997192"
MYR,"33.6796989441, -78.9282989502"
OAJ,"34.8292007446, -77.61209869380001"
OAK,"37.721298, -122.221001"
OGG,"20.8986, -156.429993"
OGS,"44.6819000244, -75.46549987790002"
OKC,"35.39310073852539, -97.60070037841797"
OMA,"41.3032, -95.894096"
OME,"64.51219940185547, -165.44500732421875"
ONT,"34.055999755859375, -117.60099792480469"
ORD,"41.9786, -87.9048"
ORF,"36.89459991455078, -76.20120239257812"
ORH,"42.26729965209961, -71.87570190429688"
OTZ,"66.88469696, -162.598999"
PAE,"47.90629959, -122.2819977"
PAH,"37.06079864501953, -88.7738037109375"
PBG,"44.650901794433594, -73.46810150146484"
PBI,"26.68320083618164, -80.09559631347656"
PDX,"45.58869934, -122.5979996"
PGD,"26.92020035, -81.9905014"
PGV,"35.6352005, -77.38529968"
PHF,"37.13190079, -76.49299622"
PHL,"39.87189865112305, -75.24109649658203"
PHX,"33.43429946899414, -112.01200103759766"
PIA,"40.664199829100006, -89.6932983398"
PIB,"31.467100143432617, -89.33709716796875"
PIE,"27.91020012, -82.68740082"
PIH,"42.9098014831543, -112.59600067138672"
PIT,"40.49150085, -80.23290253"
PLN,"45.57089996, -84.79669952"
PNS,"30.4734, -87.1866"
PPG,
PQI,"46.688999, -68.0448"
PRC,"34.654499, -112.419998"
PSC,"46.26470184326172, -119.11900329589844"
PSE,
PSG,"56.80170059, -132.9450073"
PSM,"43.0778999329, -70.8233032227"
PSP,"33.8297004699707, -116.50700378417969"
PUB,"38.289100646972656, -104.49700164794922"
PUW,"46.7439, -117.110001"
PVD,"41.732601, -71.420403"
PWM,"43.646198, -70.309303"
RAP,"44.0452995300293, -103.05699920654297"
RDD,"40.50899887, -122.2929993"
RDM,"44.2541008, -121.1500015"
RDU,"35.877601623535156, -78.7874984741211"
RFD,"42.19540023803711, -89.09719848632812"
RIC,"37.50519943237305, -77.3197021484375"
RNO,"39.49909973144531, -119.76799774169922"
ROA,"37.3255, -79.975403"
ROC,"43.118900299072266, -77.67240142822266"
ROW,"33.301601, -104.530998"
RST,"43.90829849243164, -92.5"
RSW,"26.53619956970215, -81.75520324707031"
SAF,"35.617099762, -106.088996887"
SAN,"32.7336006165, -117.190002441"
SAT,"29.533701, -98.469803"
SAV,"32.12760162, -81.20210266"
SBA,"34.42620087, -119.8399963"
SBN,"41.70869827270508, -86.31729888916016"
SBP,"35.236801147499996, -120.641998291"
SBY,"38.34049987792969, -75.51029968261719"
SCC,"70.19470215, -148.4649963"
SCE,"40.8493003845, -77.84870147710001"
SCK,"37.894199371338, -121.2379989624"
SDF,"38.1744, -85.736"
SEA,"47.449001, -122.308998"
SFB,"28.777599334716797, -81.23750305175781"
SFO,"37.61899948120117, -122.375"
SGF,"37.24570084, -93.38860321"
SGU,"37.036389, -113.510306"
SHD,"38.2638015747, -78.8964004517"
SHV,"32.446602, -93.8256"
SIT,"57.04710006713867, -135.36199951171875"
SJC,"37.362598, -121.929001"
SJT,"31.35770034790039, -100.49600219726562"
SJU,
SLC,"40.78839874267578, -111.97799682617188"
SLN,"38.79100036621094, -97.6521987915039"
SMF,"38.69540023803711, -121.59100341796875"
SNA,"33.67570114, -117.8679962"
SPI,"39.84410095, -89.67790222"
SPN,
SRQ,"27.39539909362793, -82.55439758300781"
STL,"38.748697, -90.370003"
STS,"38.50899887, -122.8130035"
STT,
STX,
SUN,"43.50439835, -114.2959976"
SUX,"42.402599, -96.384399"
SWF,"41.504101, -74.104797"
SWO,"36.161201477051, -97.08570098877"
SYR,"43.11119842529297, -76.1063003540039"
TLH,"30.396499633789062, -84.35030364990234"
TOL,"41.58679962, -83.80780029"
TPA,"27.975500106811523, -82.533203125"
TRI,"36.475201, -82.407401"
TTN,"40.27669906616211, -74.8134994506836"
TUL,"36.19839859008789, -95.88809967041016"
TUS,"32.115004, -110.938053"
TVC,"44.74140167236328, -85.58219909667969"
TWF,"42.4818, -114.487999"
TXK,"33.45370101928711, -93.99099731445312"
TYR,"32.35409927368164, -95.40239715576172"
TYS,"35.81100082, -83.9940033"
USA,"35.387798, -80.709099"
VEL,"40.4408989, -109.5100021"
VLD,"30.782499313354492, -83.27670288085938"
VPS,"30.4832, -86.525398"
WRG,"56.48429871, -132.3699951"
WYS,"44.68840027, -111.1179962"
XNA,"36.281898, -94.306801"
XWA,"48.258387, -103.748797"
YAK,"59.5032997131, -139.660003662"
YKM,"46.56819916, -120.5439987"
YUM,"32.65660095, -114.6060028"
